,NAME,POP_2021
1,OK,3986639
2,NE,1963692
3,HI,1441553
4,SD,895376
5,TN,6975218
6,NV,3143991
7,NM,2115877
8,IA,3193079
9,KS,2934582
10,DC,670050
11,TX,29527941
12,MO,6168187
13,AR,3025891
14,MI,10050811
15,NH,1388992
16,NC,10551162
17,OH,11780017
18,SC,5190705
19,WY,578803
20,CA,39237836
21,ND,774948
22,LA,4624047
23,MD,6165129
24,DE,1003384
25,PA,12964056
26,GA,10799566
27,OR,4246155
28,MN,5707390
29,CO,5812069
30,NJ,9267130
31,KY,4509394
32,WA,7738692
33,ME,1372247
34,VT,645570
35,ID,1900923
36,IN,6805985
37,MT,1104271
38,NY,19835913
39,PR,3263584
40,CT,3605597
41,FL,21781128
42,VA,8642274
43,MA,6984723
44,IL,12671469
45,MS,2949965
46,AZ,7276316
47,UT,3337975
48,WI,5895908
49,AL,5039877
50,WV,1782959
51,RI,1095610
52,AK,732673
