NAME,POP_2021
OK,3986639
NE,1963692
HI,1441553
SD,895376
TN,6975218
NV,3143991
NM,2115877
IA,3193079
KS,2934582
DC,670050
TX,29527941
MO,6168187
AR,3025891
MI,10050811
NH,1388992
NC,10551162
OH,11780017
SC,5190705
WY,578803
CA,39237836
ND,774948
LA,4624047
MD,6165129
DE,1003384
PA,12964056
GA,10799566
OR,4246155
MN,5707390
CO,5812069
NJ,9267130
KY,4509394
WA,7738692
ME,1372247
VT,645570
ID,1900923
IN,6805985
MT,1104271
NY,19835913
PR,3263584
CT,3605597
FL,21781128
VA,8642274
MA,6984723
IL,12671469
MS,2949965
AZ,7276316
UT,3337975
WI,5895908
AL,5039877
WV,1782959
RI,1095610
AK,732673
